1,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:02:52
2,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 16:02:53
3,aaa,홍길동,h001,하만카돈스피커,500000,2024-10-16 16:02:54
4,aaa,홍길동,w001,세탁기,1000000,2024-10-16 16:02:54
5,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:02:55
6,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 16:02:56
7,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:02:57
8,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:02:58
9,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 16:02:58
10,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 16:02:59
11,aaa,홍길동,h001,하만카돈스피커,500000,2024-10-16 16:03:00
12,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:03:01
